Role,Company,Location,Contract,Salary,Job_description
Data Science Consultant - Associate - Artificial Intelligence,PwC,London,NA,NA,"Background PwC are a trusted adviser to some of the largest organisations around the world, spanning the public, private, and financial sectors. The increasing availability and use of data requires all of these organisations to adapt quickly or face irrelevance. We are no different. Our technology strategy recognises this and aims to keep us at the frontier of change. As part of this strategy, we are currently looking for Consultants to join our Artificial Intelligence (AI) team in London. We are looking for self-starters, quick learners, and technology enthusiasts who can develop and build on our current Artificial intelligence and Data Science propositions. The Role Business is increasingly looking towards Data Science as a solution. As a Consultant in the AI team, you will work with business alongside our data scientists and engineers to use techniques such as machine learning and natural language processing to realise authentic, data-driven change and solutions. The team reports to the board and works with clients and senior leadership across our four business units to enhance performance and create valuable impact. Specific responsibilities include but are not limited to Responsibilities Be involved in the design and development of data science projects for PwC and its clients Support senior management with project proposals and developing new business opportunities Participating in constant learning through training and skills development to grow understanding of Data Science/AI concepts Contributing to the strategy and growth of a fast developing data science capability Craft and communicate compelling business stories Presenting findings to senior internal and external stakeholders Establish effective working relationships directly with clients and internal PwC teams Ambition to build Data Science and AI capabilities that deliver lasting impact Essential skills Able to articulate data science concepts to a business audience Work with data scientists and engineers to translate business requirements into solutions Possession of outstanding oral and written communication skills Empathic listener and persuasive speaker Planning, managing and executing the delivery of projects Demonstrable understanding of data science concepts particularly where focused on a business need Demonstrable understanding of statistics Excellent understanding of machine learning techniques and algorithms Proficient understanding of data and business intelligence tools (Alteryx, VBA, SQL, Tableau etc.) Understanding of Agile delivery methods We recognise that it takes a team to deliver AI and so we seek individuals with demonstrable skills in a selection of the below for a number of roles Consulting experience in a strategy house, a Big 4 firm or an in-house strategy/consulting function of a data-driven company Industry Experience in one of our target sectors (e.g. Financial services) Strong academic excellence in a business and/or analytics related degree (e.g. Economics, Business Intelligence and Analytics) Exposure to cloud environments (Azure, GCP, AWS etc) Exposure to programming is desirable but not essential Exposure to business or financial modelling About PwC We’re one of the world’s leading professional services organisations. From 158 countries, we help our clients, some of the most successful organisations on the globe, as well as its most dynamic entrepreneurs and thriving private businesses, to create the value they want. We help to measure, protect and enhance the things that matter most to them.The skills we look for in future employees All our people need to demonstrate the skills and behaviours that support us in delivering our business strategy. This is important to the work we do for our business, and our clients. These skills and behaviours make up our global leadership framework, ‘The PwC Professional’ and are made up of five core attributes; whole leadership, technical capabilities, business acumen, global acumen and relationships. Learn more here www.pwc.com/uk/careers/experienced/applyDiversity We work in a changing world which offers great opportunities for people with diverse backgrounds and experiences. We seek to attract and employ the best people from the widest talent pool, as well as those who reflect the diverse nature of our society. And we aim to encourage a culture where people can be themselves and be valued for their strengths. Creating value through diversity is what makes us strong as a business and as an organisation with an increasingly agile workforce, we're open to flexible working arrangements where appropriate. Learn more here www.pwc.com/uk/diversity"
Data Science Manager,Isharat,London NW1,NA,NA,"We are looking for a Data Science Manager who will help clients navigate various analytics applications to get the most value out of their technology investment and foster confidence in their business intelligence. As part of our team, you’ll help our clients implement enterprise data centric applications that improve operational effectiveness and provide impactful data analytics and insights. Requirements:Proven relevant industry experience in providing advanced analytics in an industry or consulting setting. Record of professional achievements to include leading teams of data scientists and analysts in project work. Proven record of delivering insights that have business impact, e.g. to reduce costs, drive revenue, detect risk or improve customers outcomes Strategic and analytical skills; able to define and perform each element of an advanced analytics project to meet the client’s needs. Deep technical expertise in data science and machine learning. Experience leading others to build their technical skills and skills as a consultant. Fluency with SQL, plus Python (preferred) or R in a data science context Experience with analytics on cloud platforms desired. Academic background in a relevant quantitative field preferred, e.g. statistics, engineering, computer science. Responsibilities:Interpret the client’s needs. Design advanced analytics approaches and solutions. Lead the project team technically and take responsibility for the design of the solution. Guide members of the project team to deliver the work. Be responsible for the preparation of findings to report to the client. Own the day-to-day communication with the client. Develop materials for sales pitches.  Interested? Apply as soon as possible on our website isharat.com  To all recruitment agencies, we do not accept unsolicited agency CVs."
Fraud Analytics Manager,Harnham,London,Permanent,"£50,000 - £70,000 a year","FRAUD ANALYTICS MANAGERLONDON - CURRENTLY FLEXIBLE/REMOTE/HOME WORKING UP TO £70,000 + BENEFITS + BONUS An exciting opportunity to join an industry leading team working with data and advanced analytics to develop solutions for some of the hardest fraud challenges across multiple industries. THE COMPANY A global leading professional services firm with one of the largest forensic practices. Having recently been ranked top for using sophisticated analytical and technology driven methods, this company is leading the way on developing solutions for industry fraud challenges. THE ROLE Design, implement and optimise fraud software solutions Lead multiple workstreams across Fraud Analytics and Data Science Develop business and encourage the adoption of big data technology and machine learning within clients Support junior team members with ETL processes, data mining and data analytics using SQL Deliver reporting and analytics to senior client stakeholders Respond to RFPs and Tenders, as required YOUR SKILLS & EXPERIENCE Strong domain experience within Fraud, Trust & Safety or similar Advanced technical skills including hands-on experience with SQL and a programming language such as Python Previous consulting experience, ideally from Professional Services but can be internal consulting Proven commercial aptitude and ideas on how develop incremental business within the role Significant experience with third party vendors for fraud detection and prevention BENEFITS Up to £70,000 Competitive bonus Health insurance  Life assurance Pension Flexible working Technical, professional & management training HOW TO APPLY Please submit your CV to Rosalind Madge at Harnham via the Apply Now button. Please note that our client is currently running a fully remote interview process during the Covid-19 situation."
CIB Applied AI & Machine Learning – Economic and Financial Research - NLP Specialist - Associate / VP,JP Morgan Chase,London E14,NA,NA,"CIB Applied AI & Machine Learning – Economic and Financial Research - NLP Specialist - Associate / VP About J.P. Morgan Corporate & Investment Bank J.P. Morgan’s Corporate & Investment Bank is a global leader across banking, markets, securities services and wholesale payments. The world’s most important corporations, governments and institutions entrust us with their business in more than 100 countries. The Corporate & Investment Bank provides strategic advice, raises capital, manages risk and extends liquidity in markets around the world. About Data Analytics within Global Research Data Analytics at J.P. Morgan Corporate Investment Bank combines cutting edge machine learning techniques with the company’s unique data assets to optimize all the business decisions we make. In this role, you will be part of our industry-leading data analytics team, and advance the state-of-the-art in financial applications ranging from generating business intelligence to predictive models and automated decision making. The role will be in the firm’s Applied AI and Machine Learning organization and will involve working closely with Global Research. About Global Research The firm's Research team provides clients with informed views and actionable ideas on economic indicators, markets, companies and asset classes around the world. Its top ranked research analysts, strategists and economists are located in 27 countries in developed and emerging economies. CIB Research strives to be a leader in articulating its unique and independent perspectives in the regions where we want to do business. Clients of the CIB, Asset Management, and other lines of business value the expertise of Research in helping them achieve their objectives. They recognize its commitment with top-tier rankings in surveys conducted by Institutional Investor, Greenwich Associates, Orion and many others. Responsibilities The successful candidate will apply data analytics techniques from both traditional statistics and machine learning to a combination of third party, publically available and JPMorgan proprietary datasets, with the goal of answering questions relevant to our Research analysts and the firm’s clients. Collaborate with Research colleagues to formulate relevant financial and business questions that can be answered by data analysis. Research and analyze data sets using a variety of statistical and machine learning techniques Communicate final results and give context. Document approach and techniques used. Work on longer term projects, building tooling that can be used to scale certain types of analyses across multiple datasets and business use cases. Collaborate with other J.P. Morgan machine learning teams. Required Technical Qualifications, experience & behaviours MS or PhD in a quantitative discipline, e.g. Computer Science, Mathematics, Statistics, Operations Research, Data Science, or similar BS with experience in a highly quantitative position. Hands-on experience analyzing data. Experience with natural language processing (NLP). Strong ability to develop and debug in Python or similar professional programming language. Problem solving and collaboration skills Should be able to work both individually and collaboratively in teams, in order to achieve project goals. Must be curious, hardworking and detail-oriented, and motivated by complex analytical problems. Must have the ability to design or evaluate intrinsic and extrinsic metrics of your model’s performance which are aligned with business goals. Must be able to independently research and propose alternatives with some guidance as to problem relevance. Must be able to undertake basic and advanced EDA, may require some direction from more senior team; should be aware of limitation and implication of methodology choices. Ensures re-use and sharing of ideas within team and locale. Able to work with non-specialists in a partnership model, conveys information clearly and creates a sense of trust with stakeholders. Nice to Have Ideally, some experience with machine learning APIs and computational packages (examples: TensorFlow, Theano, PyTorch, Keras, Scikit-Learn, NumPy, SciPy, Pandas, statsmodels). Experience with big-data technologies such as Hadoop, Spark, SparkML, etc. Shows institutional awareness and some understanding of applied problem solving, may require coaching and guidance as to how to most rapidly reach a satisfactory conclusion The hiring manager for this job opening would welcome a conversation about flexible working. This could range from ad hoc flexibility in a full time position, to a more formal Flexible Work Arrangement. @2019 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."
"Consultant, Data Scientist, Ventures, Tax, London",Deloitte,London,NA,NA,"Your opportunity Our Tax Ventures team is expanding its AI & Data capabilities, supporting Deloitte’s UK tax business in developing and delivering data and machine learning driven products and solutions. A key area of focus will be our market leading advisory arm of our Global Employer Services group which has grown rapidly over the last 5 years in both size and breadth of services. To continue that growth and explore other market differentiating opportunities across the entire tax business, we need high calibre and motivated individuals. Our Tax Ventures team has quickly established a strong reputation for being proactive, entrepreneurial, successful and fun to work with. Working for us will present you with the opportunity to get involved in high profile projects and will enable you to expand your horizons. We encourage consideration of flexible ways of working, both formal and informal arrangements that allow for the best outcomes for our people and our clients. If this opportunity is of interest to you with some flexibility, please do discuss with us.  Your role Deloitte’s Tax Ventures team is a key strategic function within the tax business and includes a number of future looking capabilities that combined, are helping to drive exciting and innovative growth opportunities. You’ll work as part of a multi-disciplinary team of industry, tax SMEs, technology and analytics specialists to provide specialist data science expertise and support on a diverse range of projects with both an internal and client focus.  Your role will be as the lead Data Scientist within our expanding AI & Data Studio. The role involves working on new and existing projects and products, delivering insights to clients, and utilising data to make smarter, better decisions. You will be responsible for applying data mining techniques, undertaking statistical analysis, deploying cutting edge machine learning tools and techniques and drawing insights and building predictive models on both structured and unstructured data. This role will involve working on the delivery of key data science driven services and transformation projects. Responsibilities: Proactively sourcing additional external structured and unstructured data sets to enhance services and insightsProcessing, cleansing and verifying the integrity of data used for analysisPerforming ad-hoc analysis and presenting results from a business-centric perspectiveCreating anomaly detection systems and perform constant tracking of performanceClearly and confidently articulate the value and benefits of delivering analytics projects to clientsWorking closely with tax SMEs to build a deep understanding of business/client challenges and in the development of POCs Your work, your choice At Deloitte we believe the best impact is the value we add, not the hours we sit at our desk. We carefully consider agile ways of working, both formal and informal, that allow for the best impact for our people and our clients. Please speak to your recruiter about the working pattern that works best for you. Location: Your home office will be London, but this client-facing role provides lots of opportunity for travel in the UK and overseas. Work pattern: This is a permanent contract opportunity. The role can be worked on a full-time basis. Our team members work a variety of agile working patterns. Tell us what arrangement works for you and we’ll try to accommodate. Your professional experience Essential: Deep understanding of machine learning techniques and algorithmsExperience with common data science toolkits- for example Python, R, Alteryx, SSIS, SPSSProficiency in Microsoft SQL languageStrong statistics skills including distributions, statistical testing, regression, etc.Experience in working with unstructured data setsGood scripting and programming skills to allow integration with existing services using Microsoft technologiesData and analytical orientated mind-setExperience in developing and testing predictive algorithms Desirable: Experience with data visualisation tools such as Qlikview and Tableau preferredSalary: Market Rate. Opening Date: 28.04.2020. Closing Date: 26.05.2020. Full Time Your service line: Tax Consulting Arguably the most stimulating career environment in our industry, tax at Deloitte is a far cry from tax at other firms. Here, it’s all about collaborating with colleagues at the top of their game, across disciplines, for clients who urge us to constantly push the boundaries of our creativity. You’ll find a diverse mix of people, all working together to deliver best-in-class advice. And you’ll discover a structured programme that will help you develop even greater expertise. From fascinating projects to a wealth of secondment opportunities, both in the UK and overseas, you can enjoy a broad and rich career experience.  Personal independence Regulation and controls are standard practice in our industry and Deloitte is no exception. These controls provide important legal protection for both you and the firm. We are subject to a number of audit regulations, one of which requires that certain colleagues abide by specific personal independence constraints. This can mean that you and your ""Immediate Family Members"" are not permitted to hold certain financial interests (shares, funds, bonds etc.) with audit clients of the firm. The recruitment team will provide further detail as you progress through the recruitment process. About Deloitte  Our Purpose & Strategy To make an impact that matters for our clients, our people and society - defines who we are and what we stand for. Our purpose provides the foundation for our strategy and our aspiration to be the undisputed leader in professional services: this is not about size, it's about being the first choice. The first choice for the largest and most influential clients, and the first choice for the best talent. What do we do? Deloitte offers global integrated professional services that include Audit & Assurance, Consulting, Financial Advisory, Legal, Risk Advisory and Tax Consulting. Our approach combines intellectual leadership, industrial expertise, insight, consulting & problem solving capabilities whatever the role, technology revolutions and innovation from multiple disciplines to help our clients excel anywhere in the world. Beyond the UK: Deloitte North and South Europe The UK is part of Deloitte North and South Europe (NSE), the second largest member firm in the Deloitte network. Deloitte NSE combines operations in Belgium, Greece, Ireland, Italy, Malta, the Netherlands, the Nordics (Denmark, Finland, Iceland, Norway and Sweden), Switzerland and the UK. Deloitte NSE brings together 2,500 partners and over 40,000 people, combining our unmatched breadth and depth of capabilities in audit and assurance, consulting, financial advisory, risk advisory, and tax and legal across the region. Being part of Deloitte NSE supports our aspiration to be the undisputed leader in professional services and will create more opportunity and growth for our people. What do we value? What brings us all together at Deloitte? It’s how we approach the thousands of decisions we make every day. How we behave, our beliefs and our attitudes. In other words: our values. Whatever we do, wherever we are in the world, we lead the way, serve with integrity, take care of each other, foster inclusion, and collaborate for maximum impact. These five shared values lead every decision we make and action we take, guiding us to deliver impact how and where it matters most.  Being a Leader at Deloitte Cultural fit and purpose-led leadership is crucial for Deloitte. Our leaders always set the example and inspire their colleagues. They make quality time for people and take an interest in them. They know what matters to people - both inside and outside work – and value them as individuals; always finding opportunities to develop them while showing respect and appreciation. We expect colleagues at all levels to embrace and live our purpose and our leadership culture by challenging themselves to identify issues that are most important for our clients, our people, and for society and make an impact that matters. We know leadership comes in all shapes and sizes, but our Leadership Charter helps all of our people understand what we’re looking for: We live our purpose: we act as a role model, embracing and living our purpose and values, and recognising others for the impact they makeWe develop talent: we develop high-performing people and teams through challenging and meaningful opportunitiesWe drive performance: we deliver exceptional client service; maximise results and drive high performance from people while fostering collaboration across businesses and bordersWe believe positive influence can make an impact that matters: we influence clients, teams, and individuals positively, leading by example and establishing confident relationships with increasingly senior peopleWe move, together, towards a strategic direction: we understand key objectives for clients and Deloitte, aligning people to objectives and setting priorities and direction.WPFULL Tax SLTAXC  Deloitte LLP is a limited liability partnership registered in England and Wales with registered number OC303675 and its registered office at 1 New Street Square, London EC4A 3HQ, United Kingdom.Deloitte LLP is the United Kingdom affiliate of Deloitte NSE LLP, a member firm of Deloitte Touche Tohmatsu Limited, a UK private company limited by guarantee (""DTTL""). DTTL and each of its member firms are legally separate and independent entities. DTTL and Deloitte NSE LLP do not provide services to clients. Please see www.deloitte.com/about to learn more about our global network of member firms. © 2020 Deloitte LLP. All rights reserved. Requisition code: 177429"
"Commercial Analytics Manager, Digital Analytics - Assisted Relocation to Copenhagen, DK",Pandora,United Kingdom,NA,NA,"We are building a diverse team of thinkers, makers and doers in our new Global Digital Hub. As part of this, we are looking for a Commercial Analytics Manager for our Global eCommerce Analytics team. Maybe that is you? Leading implementation and tactical execution As Commercial Analytics Manager you are responsible for leading the implementation and tactical execution of commercial forecasting, reporting, and analysis programs for the global eCommerce team. You will also have a heavy hand in strategic direction of these.  This includes: To oversee the completion and participate in the building of econometric and ML models to forecast demand sales, fulfilled sales, orders, units, call center volume, visits, etc. Working with market and omni/customer contact and distribution centre leads to incorporate model outputs into their respective forecasting procedures Working with internal clients to continuously optimise the forecasting process, and developing measures of the effectiveness and value-add of the forecasting program Owning the global ecommerce trade reporting cadence, and be responsible for producing insightful, precise, commentary on commercial performance, while also partnering with other elements of the ecommerce analytics team (AB testing, voice-of-customer, web analytics, etc.) to produce value-add analyses that prescribe actions to optimise and grow our digital commercial ecosystem Playing a key role in shaping both our digital data ecosystem and the future of our eCommerce and our digital customer experienceAnalytical and eCommerce experience combined with expertise in web sales To succeed as Commercial Analytics Manager, you must be able to quickly respond to requests for information and must have a strong sense of urgency. Furthermore, you must have a solid background in building econometric and/or ML models, and in creating data-driven, value-add analytical storytelling (reporting and analysis). You are an expert on the topic of web sales and an open-minded problem solver able to incorporate elements of Retail Analysis, Financial Analysis, and Web Analytics to deliver thorough insights on the business.  Furthermore, the ideal candidate have and can demonstrate: Minimum 4 years of analytical and/or eCommerce experience with a strong, hands-on background in marketing, eCommerce or analysis (preferably from a retail environment) Deep experience in eCommerce, reporting, econometrics, and data science, and must be able to ‘speak EBIT’ while being at least conversant in web analytics and AB testing Experience with Adobe Analytics or Google Analytics as well as SAS, Excel, SQL, R/RStudio, and/or Python or similar Experience with A/S Testing tools (Monetate, Optimizely, Maxymiser, Optimize 360, etc.), Behavioral Analytics tools (Clicktale, ContentSquare, Hotjar, SessionCam, etc.) and VoC tools (Verint, Qualtrics, Medallia, etc.) is preferredYour new team The Global eCommerce Analytics team is the principal authority globally for web analytics, tagging, A/B testing, forecasting, and digital VoC, and is charged with creating insightful, value-add storytelling and championing and elevating the voice of our digital customer. The eCommerce Analytics team is integral to the success of eCommerce and trading at Pandora. As Commercial Analytics Manager you will interact regularly with the A/B testing team, digital marketing teams, global product management team, external vendors, global data and insights team, global digital analytics power users, global development teams and others.  Did we get your attention? We hope you got all your questions answered and feel confident applying for this position, however if you have more questions regarding the position, please contact:  Neil Andrews Recruiter, Global Office HR +44 797 378 7498 extneand@pandora.net  If you see yourself in the position and would like to become a part of Pandora’s future PLEASE CLICK HERE TO APPLY. We look forward to hearing from you!  We process applications on a continuous basis, which is why we encourage you to send your application as soon as possible. You can also read more about Pandora on our corporate site www.pandoragroup.com.Icing on the cake You will be working out of our beautiful Head Office in Copenhagen V, established in 2016 and designed to unite and inspire our teams. Besides our beautiful interior design we are also proud of our LEED Gold Certification for Energy and Environmental Design. This means that we use as few natural resources as possible and that we use them with respect. The result is a professional and dynamic space that is unique, comfortable and inspirational – and delivers a true Pandora experience to anyone who works here or comes to visit."
Data Scientist,Instant Impact,London,NA,£40 a day,"This role will focus on working with NHS datasets. Given the rich and unique datasets made possible by the NHS, there are fantastic opportunities to apply advanced analytical techniques, along with powerful visualisations, to provide better insights. The successful candidate will sit within the Data Science and Analytics team to provide machine learning and statistical solutions to client problems but also providing automation of analytical processes internally to improve efficiency. The work is varied, and projects tend to last from a few weeks to 6 months and beyond. Responsibilities Develop predictive models and insightful visualisation, and create high quality, structured code. Develop processes and tools to measure the quality and effectiveness of data sources, products and models over time and improve upon them. Working with leadership to identify key new product initiatives to drive growth and collaborate with consulting teams to identify opportunities to build data science products and models. Working with clients to bring analytical insights to address their toughest problems and clearly presenting the findings in a range of media as highly polished products. Developing and managing a work plan for a workstream independently. Identifying new opportunities with existing clients. Training & Progression You will be working with an industry leading team and will be given a mentor both to develop your technical understanding and personal development, this ensures your skills are being constantly nurtured and you grow within the business."
Head of Data Science,Harnham,London,Permanent,"£105,000 - £110,000 a year","Head of Data ScienceClean / Renewable EnergyLondon £100,000 - £110,000 + 20% bonus * Currently remote working / flexible working is offered with the view to being full-time from the office with working from home options / flexible working * THE COMPANY Harnham are working with a clean energy tech company who are looking to hire a Head of Data Science to their London office. As a business they support renewable energy demand in the market through a real-time digital platform which harnesses machine learning at its very core. They have had significant investment in recent times, and this is a key hire in the team. THE ROLE In this role you will: Lead a team of 5 Data Scientists and Machine Learning Engineers Have oversight over all data science and machine learning within the business Be responsible for the planning and delivery of the product road map Create a culture of innovation and R&D YOU A proven experience in leading Data Science and Machine Learning teams Experience in delivering end to end machine learning algorithms into a production environment An MSc or PhD in a quantitative discipline Experience in using Data Science to achieve commercial impact Experience in working in a product and software environment is desirable Strong communication and stakeholder management skills. HOW TO APPLY? To be considered for this amazing leadership role please contact Nick Mandella at Harnham. For more information about similar roles please get in touch! SALARY? You could earn between £100,000 - £110,000 + 20% bonus + flexible working + 25 days holiday"
Solution Architect (Data Science & AI),EPAM Systems,London,NA,NA,"Do you have a combination of deep technical expertise, business acumen and strong interpersonal skills? Do you enjoy helping customers architect systems and solve technical problems? Are you passionate about transforming and shaping leading organizations?  Then you have an opportunity to join EPAM as a Solution Architect (Data Science & AI) and work with highly skilled and professional architects and engineers who specialize in building and integrating custom software solutions at enterprise scale.  You are curious, persistent, logical and enjoy crafting and developing elegant solutions for complex problems. If this sounds like you, keep reading to learn more about this exciting role! Come and join EPAM where Engineering is in our DNA. JOB OVERVIEW EPAM recruits exceptionally talented people who have a passion for and take pride in their work, they are perfectionists in what they do. Due to ongoing growth within a key client we require a Solution Architect with experience within Data Science & AI to play a key role in establishing our UK onsite presence as part of a wider Global Account team. This is a long-term project role, so ideally looking for the successful candidate to join our growing UK Architect practice on a permanent basis. This role is expected to be heavily client facing so you must be able to commit to working onsite in Cambridge when required in the future. Responsibilities As a solution architect in Science IT, you'll be designing solutions that will form a part of our foundational data platform for science, aligned to our client’s data science and AI strategy. You'll be providing the architectural leadership to craft requirements and opportunities into well-architected solutions across cloud and on-premise infrastructure You will identify opportunities for innovation in your delivery, bringing to bear new technologies and methodology best practices externally and internally. You will work closely with colleagues across the wider IT organisation, including business analysts, data engineers and data scientists, as well as commercial software suppliers As a solution architect, you will be responsible for ensuring that the solutions you help deliver form an integral part of the global IT estate and align with the wider Enterprise reference architecture and domain roadmaps. You will need to be a good communicator and have a collaborative delivery approach Requirements Experience with a range of infrastructures and technology stacks needed to support global solutions Experience of designing/developing innovative solutions, blueprints, and standards for solution design Hands-on experience with AWS cloud technologies Practical experience in agile delivery of complex IT projects, including interpretation of the non-functional requirements associated with successful implementation Knowledge of current and new technologies and their applicability to the Science domain We expect people to build strong domain (science) and technology (IT) skills and we need architects who can focus on and deliver value in the R&D domain A deep understanding of the Pharmaceutical Industry Knowledge of the types of technical solutions employed and the associated data utilized in drug discovery (from initial Target identification through to Clinical Trials) Understanding of the high-level business processes/workflows and associated dataflow across the R&D domain Understand large set of technologies (Java, Python, .NET) Quickly learn domain-specific tools (Pipeline Pilot, Bioinformatics tools, etc) What We Offer We offer a range of discretionary benefits from time to time, including: Group personal pension plan, life assurance and income protection Private medical insurance, private dental care and critical illness cover Cycle scheme and season ticket loan Employee assistance program 1 day off for your wedding and baby basket Tech purchase scheme Unlimited access to LinkedIn learning solutions Some of these benefits may be available only after you have passed your probationary period"
Deals - Investigative Analytics - Data Scientist - London,PwC,London,NA,NA,"A career within Forensics Technology services, will provide you with the opportunity to help our clients protect their business in today’s evolving landscape by applying advanced and strategic approaches to information management. We focus on assisting organisations manage vast amounts of electronic data and navigate the legal and business processes demanded by critical events which includes litigation, regulatory requests and internal investigations. No matter which area of the business you choose to join, all routes offer the same deal. The opportunity to grow as an individual, to meet new people, and build lasting relationships that will stay with you for life. Your hard work will be rewarded with a competitive salary and a personally tailored benefits package. If your passion lies within technology; whether that’s working with cutting edge tools to analyse and visualise big data, using analytics to uncover hidden patterns and trends, or, being an excellent communicator to deliver complex technical information to our clients in a simple yet effective manner, we’re sure we have something to offer to you. Investigative Analytics In an increasingly digitised world, instances of fraud and electronic crime are becoming more and more common. Investigative Analytics involves the analysis of data to support forensic investigations. Much of our work requires us to analyse vast quantities of data, using cutting edge technology and advanced statistical techniques to extract meaningful insights for our worldwide clients. Because we operate in an environment where speed of response is often critical to our clients, we are constantly innovating and drawing on the very latest technologies. Join us and you could be looking for hidden patterns within banks trading systems, looking for potential evidence of market abuse or incidents of rogue trading. In addition, you could be searching for evidence of fraud and abuse within a company’s finance system or helping to identify illegal activity within millions of regular transactions. You may also be researching new tools and technologies and developing new propositions to take to our clients. The very nature of what we do means that many of our clients have an international reach, and no two jobs, or indeed days, are the same. So, if you are naturally inquisitive, have an analytical mind and enjoy solving problems in a rigorous and methodological manner, we’d be interested in talking to you. Your responsibilities will include but may not be limited to In-depth understanding of machine learning concepts across all areas, in particular; supervised, unsupervised and reinforcement learning. Writing Python / R code to create, tune and validate models. Experience optimising code and infrastructure for machine learning performance. Consulting with clients on business issues, often explaining complex technical concepts to non-technical people. Creation of novel visualisations and explanations to demonstrate our work. Researching new products, tools and techniques to assist with advancing our machine learning and data science capability. Requirements To be considered you must be able to demonstrate experience working in a data science role, covering multiple of the following disciplines Data transformation and modelling (e.g. pandas and scikit-learn in Python); Data storage and querying (e.g. SQL); Understanding of common data quality issues and they effect they have on machine learning models; Data cleansing and manipulation for machine learning (e.g. feature engineering); Dimensionality reduction techniques (e.g. principal component analysis); Hyperparameter optimization approaches for a range of models; Clustering and/or text mining concepts and techniques (e.g. LSI); Experience with financial / general ledger data; Knowledge of the current data science software platforms. To be successful in this role you will need to demonstrate the following The ability to come up with creative solutions to complex problems; Exceptional analytical and technical aptitude; Exceptional attention to detail; The ability to manage time, prioritise tasks and work under tight deadlines; The ability to work independently with little supervision, but integrate well into teams; Concise and clear communication when presenting and explaining results and findings. About PwC We’re one of the world’s leading professional services organisations. From 158 countries, we help our clients, some of the most successful organisations on the globe, as well as its most dynamic entrepreneurs and thriving private businesses, to create the value they want. We help to measure, protect and enhance the things that matter most to them.The skills we look for in future employees All our people need to demonstrate the skills and behaviours that support us in delivering our business strategy. This is important to the work we do for our business, and our clients. These skills and behaviours make up our global leadership framework, ‘The PwC Professional’ and are made up of five core attributes; whole leadership, technical capabilities, business acumen, global acumen and relationships. Learn more here www.pwc.com/uk/careers/experienced/applyDiversity We work in a changing world which offers great opportunities for people with diverse backgrounds and experiences. We seek to attract and employ the best people from the widest talent pool, as well as those who reflect the diverse nature of our society. And we aim to encourage a culture where people can be themselves and be valued for their strengths. Creating value through diversity is what makes us strong as a business and as an organisation with an increasingly agile workforce, we're open to flexible working arrangements where appropriate. Learn more here www.pwc.com/uk/diversity"
